group,denominator,person_years_alive,infections,cases,hospitalizations,deaths,infections_per1000_py_alive,cases_per1000_py_alive,hospitalizations_per1000_py_alive,deaths_per1000_py_alive,scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,is_no_revaccination,contact_scales_mode,elapsed_s,outcome_state_cache_used,outcome_state_cache_loaded,outcome_state_cache_elapsed_s,draw_row,posterior_draw_id,pre_posterior_draw_id,posterior_source_row,posterior_source_wave,posterior_source_task_id,posterior_source_sample_in_task
vaccinated_primary,887164.2059866134,887164.2059866134,158356.2909171292,62817.30113858043,1779.9755860108253,95.56021039068708,178.49715965605432,70.80684806114495,2.006365421417468,0.10771423119400401,older_adult_vax_main,none,no_revaccination,0,0,True,posterior,30.563559772912413,True,False,65.12740757409483,0,180,105875,180,0,1,80
vaccine_eligible,2423198.930361967,2423198.930361967,438344.7094330909,192502.6829787673,4792.796137208724,251.85135341230696,180.8950573313487,79.4415516476033,1.9778797675900248,0.1039334205114916,older_adult_vax_main,none,no_revaccination,0,0,True,posterior,30.563559772912413,True,False,65.12740757409483,0,180,105875,180,0,1,80
age_60plus,3340285.7141230516,3340285.7141230516,643848.4690852136,287470.7425903431,5006.1589868135,260.26984237687486,192.75251406278207,86.06172261698721,1.498721790668078,0.07791843711944423,older_adult_vax_main,none,no_revaccination,0,0,True,posterior,30.563559772912413,True,False,65.12740757409483,0,180,105875,180,0,1,80
all_ages,9998184.077695029,9998184.077695029,3079654.0674589965,1166744.9909701992,9049.382719649566,283.0417176790488,308.02134102825767,116.69569012767961,0.9051026315706523,0.028309312519109064,older_adult_vax_main,none,no_revaccination,0,0,True,posterior,30.563559772912413,True,False,65.12740757409483,0,180,105875,180,0,1,80
vaccinated_primary,887164.2335901975,887164.2335901975,158355.9619152235,62814.887846225945,1779.8975744679065,95.5560551828716,178.49678325554763,70.8041256262385,2.006277425392787,0.10770954414626599,older_adult_vax_main,scenario_a,scenario_a,1,1,False,posterior,100.32498531998135,True,False,65.12740757409483,0,180,105875,180,0,1,80
vaccine_eligible,2423198.9600500693,2423198.9600500693,438343.9295699175,192500.09926294402,4792.71409638434,251.8469839057815,180.89473328300713,79.44048443259751,1.9778458869449627,0.10393161604054903,older_adult_vax_main,scenario_a,scenario_a,1,1,False,posterior,100.32498531998135,True,False,65.12740757409483,0,180,105875,180,0,1,80
age_60plus,3340285.7434968576,3340285.7434968576,643847.4171384254,287467.9948174696,5006.076573858884,260.2654577108328,192.75219744056938,86.06089924406494,1.4986971050620819,0.07791712377228174,older_adult_vax_main,scenario_a,scenario_a,1,1,False,posterior,100.32498531998135,True,False,65.12740757409483,0,180,105875,180,0,1,80
all_ages,9998184.112837257,9998184.112837257,3079651.7739413246,1166741.851463773,9049.298252890123,283.0373189327828,308.021110552183,116.69537570984761,0.9050941801792984,0.02830887246508839,older_adult_vax_main,scenario_a,scenario_a,1,1,False,posterior,100.32498531998135,True,False,65.12740757409483,0,180,105875,180,0,1,80
vaccinated_primary,887181.2062646734,887181.2062646734,158150.61533289554,61174.58753982192,1726.6219271027003,92.71028742699306,178.26190885936595,68.9538812452838,1.946188574454085,0.10449983247203136,older_adult_vax_main,scenario_a,scenario_a,2,2,False,posterior,92.98205098393373,True,False,65.12740757409483,0,180,105875,180,0,1,80
vaccine_eligible,2423217.245498733,2423217.245498733,437838.10270186525,190755.82231724408,4736.745845800428,248.85757960163795,180.6846264053192,78.72006633808178,1.9547342916113726,0.10269718080948184,older_adult_vax_main,scenario_a,scenario_a,2,2,False,posterior,92.98205098393373,True,False,65.12740757409483,0,180,105875,180,0,1,80
