draw_row,posterior_draw_id,pre_posterior_draw_id,posterior_source_row,posterior_source_wave,posterior_source_task_id,posterior_source_sample_in_task,posterior_source_weight,posterior_source_loglik,contact_scale_1,contact_scale_2,contact_scale_3,contact_scale_4,param_transmission_prob_age_NA__NA_risk_NA_tier_NA_ds_NA,param_seasonal_amplitude_age_NA__NA_risk_NA_tier_NA_ds_NA,param_seasonal_shift_age_NA__NA_risk_NA_tier_NA_ds_NA,param_prop_hosp_by_age_age_0_1mo__5_6mo_risk_NA_tier_NA_ds_NA,param_prop_hosp_by_age_age_6_7mo__11_12mo_risk_NA_tier_NA_ds_NA,param_prop_hosp_by_age_age_65_75y__65_75y_risk_NA_tier_NA_ds_NA,param_prop_hosp_by_age_age_75_y__75_y_risk_NA_tier_NA_ds_NA,param_prop_symp_age_60_65y__75_y_risk_NA_tier_NA_ds_NA,param_relative_hosp_by_tier_age_NA__NA_risk_NA_tier_1_ds_NA,param_relative_hosp_by_tier_age_NA__NA_risk_NA_tier_2__ds_NA
0,180,105875,180,0,1,80,8.700993149106672e-07,-173.46856677363604,0.7772887523228154,0.9422464722486967,0.8447282204178602,0.7053023094355391,0.06117997048915496,0.1324165020925921,22.95040387772933,0.09649381127853231,0.024403826185720276,0.0042431780937567986,0.0171775663174075,0.4626391083105261,0.5198647095196864,0.47518488683718696
1,354,84238,354,0,3,54,0.00024338966557409963,-132.94889200841732,0.8409050703042379,0.7319590445618871,0.783524644060251,0.7604622925179974,0.07815362786235053,0.07445674448038983,81.350417905461,0.07647267502790063,0.018661657247172253,0.004426177999869021,0.014578319208057564,0.3177781934006545,0.4524908570737466,0.8546132804593667
2,451,77850,451,0,4,51,8.041658914099112e-05,-108.09775018491378,0.8700231420919916,0.8867123618623765,0.7785944429833045,0.8791784442234821,0.06327778191885855,0.11679164803818504,24.781379500215486,0.10904050049888239,0.03406612517347948,0.003911336130388234,0.013606642045623348,0.3444100101025414,0.8534532585359191,0.5736676884555364
3,466,107137,466,0,4,66,0.0002452488633452964,-108.19089462375757,0.8061538848789797,0.9562599694646436,0.7559149036609661,0.830432781556989,0.05931664980720811,0.12320757699173356,25.92539547750769,0.11736615288895624,0.03043973803249206,0.0034835137797606837,0.0155058727944489,0.6115512125849897,0.297813696236159,0.782588680908499
4,626,102136,626,0,6,26,2.6793040675751903e-05,-140.1766675111534,0.8667690417717075,0.7684178426058038,0.7566264451814039,0.8204832796097521,0.0704214275243214,0.09297999347012705,48.07015855107007,0.09923189180898478,0.018771545004298264,0.004452235099090926,0.01682654851643435,0.326192859369442,0.663607787757478,0.7265391144460465
