scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,group,is_no_revaccination,n_draws,infections_per1000_py_alive_median,infections_per1000_py_alive_lo95,infections_per1000_py_alive_hi95,cases_per1000_py_alive_median,cases_per1000_py_alive_lo95,cases_per1000_py_alive_hi95,hospitalizations_per1000_py_alive_median,hospitalizations_per1000_py_alive_lo95,hospitalizations_per1000_py_alive_hi95,deaths_per1000_py_alive_median,deaths_per1000_py_alive_lo95,deaths_per1000_py_alive_hi95
older_adult_vax_main,scenario_a,scenario_a,2,2,vaccinated_primary,False,5,185.1087671744539,177.66595388767988,297.4847576496277,68.9538812452838,54.03499182760213,89.76998319433906,1.9039848599264406,1.578400576100267,2.0113915313429307,0.10239239471199471,0.08419909917443966,0.10776000254114182
older_adult_vax_main,scenario_a,scenario_a,2,2,vaccine_eligible,False,5,187.3474385511684,180.0156102356805,302.32700724180194,78.72006633808178,62.06370271269586,102.49165475491857,1.8984505413979142,1.6333527797641334,2.0604991832733317,0.09995634059469657,0.08477802696695931,0.10781180838668555
older_adult_vax_main,scenario_a,scenario_a,3,3,age_60plus,False,5,199.9630023018091,191.56752654120393,322.32239001899615,85.42118098706075,67.57784326327733,111.08189150526593,1.432794466839618,1.2486308495377565,1.5660086114944272,0.07464763714554142,0.06398084518529364,0.08099050289484157
older_adult_vax_main,scenario_a,scenario_a,3,3,all_ages,False,5,327.9291357055884,298.34516959840346,507.4295723149052,121.71224310822495,116.29875840704356,175.18074016667265,0.9548857918552474,0.8615814625332808,1.139863931458908,0.027837855389567,0.02486959697299993,0.030835266666882605
older_adult_vax_main,scenario_a,scenario_a,3,3,vaccinated_primary,False,5,185.103381258459,177.62297042520578,297.47881665243517,68.68800306064671,53.929517371438685,89.41533901403196,1.894569192641085,1.574669680277559,2.0059105935921235,0.10188005155514568,0.08399198630054112,0.10745792647953757
older_adult_vax_main,scenario_a,scenario_a,3,3,vaccine_eligible,False,5,187.33607305357734,179.96526610300998,302.3126550322923,78.61560963901589,62.024968074550074,102.34801352220057,1.8946643244406296,1.631912071918002,2.05838927406111,0.09975056804667794,0.08469809788141507,0.10769554478439675
older_adult_vax_main,scenario_a,scenario_a,4,4,age_60plus,False,5,199.96429591183863,191.59942949919468,322.3269470645951,85.45886026161072,67.5788712216842,111.13729975542114,1.4339173184279634,1.24860361093738,1.5661349532352375,0.07470525236961902,0.06397693373065191,0.0809945802373708
older_adult_vax_main,scenario_a,scenario_a,4,4,all_ages,False,5,327.9319395896709,298.3715514706928,507.434258533111,121.73753875759024,116.30124349730961,175.18421665129446,0.9548741494596509,0.8619812213755068,1.1398831592905627,0.027839596734660334,0.024870089628359928,0.03083666975222417
older_adult_vax_main,scenario_a,scenario_a,4,4,vaccinated_primary,False,5,185.11104873377977,177.66717403113276,297.4923694543277,68.80505882698012,53.934210540958446,89.58030616680311,1.8985075537685279,1.5746516872543332,2.0064380341480605,0.10208235988464867,0.08398193467928634,0.10747628702715957
older_adult_vax_main,scenario_a,scenario_a,4,4,vaccine_eligible,False,5,187.33616189128728,179.99573152285376,302.3158283764331,78.6644776728102,62.02758149668648,102.41834155607964,1.8962047078658701,1.6318803714232653,2.058568895999064,0.09982971467591534,0.0846929621250003,0.10770140851036743
older_adult_vax_main,scenario_a,scenario_a,5,5,age_60plus,False,5,199.97100306271238,191.58339882529788,322.33539354139424,85.45377172426493,67.5947464944093,111.12635069147545,1.4334944682801842,1.2490556905753456,1.5665702949446316,0.0746803881777974,0.06399877665957004,0.08101543883430878
older_adult_vax_main,scenario_a,scenario_a,5,5,all_ages,False,5,327.93825592928084,298.35876611036986,507.4407382390973,121.7298956427567,116.30671437937755,175.19274895838373,0.9550312360041472,0.8618269805707575,1.1400590423123234,0.02784777138899724,0.024875786823354756,0.03084366983736932
older_adult_vax_main,scenario_a,scenario_a,5,5,vaccinated_primary,False,5,185.1241610991819,177.6638296160823,297.50965221789454,68.80391388359367,53.98978851366942,89.57156299353348,1.8976027367151267,1.5763539378530749,2.0081420092758453,0.10202562192960259,0.08406448232010427,0.1075585696931153
older_adult_vax_main,scenario_a,scenario_a,5,5,vaccine_eligible,False,5,187.341962832681,179.97796502822794,302.3232395692077,78.66029269848232,62.048990847583106,102.40773759963182,1.8956337826997982,1.6325036854387083,2.059171146317418,0.09979594378454089,0.08472309099414903,0.1077302671820282
older_adult_vax_main,scenario_b,scenario_b,1,1,age_60plus,False,5,200.1340992906532,191.87700263683297,322.5540973386776,86.06089924406494,68.04024298470118,111.94443737660413,1.4520283617213443,1.2637186264556215,1.5849490040265926,0.07567737124023964,0.06478207122361733,0.08200131574797703
older_adult_vax_main,scenario_b,scenario_b,1,1,all_ages,False,5,328.0474266469944,298.565101307287,507.5717683468917,122.04520031451976,116.47637561245178,175.4221349640423,0.9599989524355209,0.868214684582624,1.1462160777003667,0.028134028956164216,0.025143152896466993,0.031173835629034193
older_adult_vax_main,scenario_b,scenario_b,1,1,vaccinated_primary,False,5,185.2949557151072,177.9678571406575,297.74050928905115,70.8041256262385,55.51288440207197,92.17992756554911,1.962067356838382,1.6288436702277338,2.0741997380680406,0.10550022426751174,0.08687223503051393,0.11110591422749225
older_adult_vax_main,scenario_b,scenario_b,1,1,vaccine_eligible,False,5,187.51407260292197,180.28533355270866,302.55699227761664,79.44048443259751,62.627668569546685,103.44958812772737,1.9210365402728444,1.652600180822686,2.0843858404824585,0.10116433501225609,0.08579808166140233,0.10908443212715611
